Time_Months,Choke_Size,Hyperbolic_Constant,Initial_Rate,Rate_of_Production,Cumulative_Production
39,1.778355997,0.837836293,170.1267368,24.20462353,6162.952577
52,1.753790737,0.319933942,76.2325446,5.662063864,3816.878659
29,2.495737947,0.383401116,110.511254,25.92265668,2828.947843
15,2.124909827,0.777802055,296.6656483,140.1349296,3398.972753
43,2.254917193,0.776029229,85.62388573,27.18218594,3097.410088
8,2.489481674,0.712918106,174.7220384,117.1196848,929.2975677
21,2.725013355,0.755158756,204.5389336,71.57589402,3543.770718
39,1.344987892,0.634179555,225.6162426,76.48008225,7307.671859
58,1.438957382,0.401439247,189.9121709,48.69542843,9602.738486
19,0.73495485,0.476556795,52.44271185,26.89369839,740.9213906
23,1.945700352,0.345278173,131.6153271,41.67425196,2547.898625
11,0.589855684,0.926760449,179.4279108,115.0419944,1340.97605
11,1.663995045,0.666713436,71.96662479,45.0442382,543.8895625
24,1.856611587,0.520681133,137.6567328,62.57124218,4530.544535
53,1.21635313,0.569604643,58.3007772,11.59236594,2782.743494
36,1.977083151,0.957826672,69.64462429,24.8730801,2059.491033
40,0.576250625,0.322681122,149.2308191,20.19619516,5565.308859
24,0.593370472,0.668983866,83.17893851,34.4690118,1582.666383
3,2.556501402,0.604710943,191.8852121,165.1571326,327.9199373
22,1.400476604,0.689163388,222.3662423,98.06395203,3813.353858
53,0.817651282,0.214488147,250.1466748,17.67316602,12789.43486
2,1.80560815,0.897699127,100.0375611,90.90204312,109.173079
24,2.424983883,0.945694626,91.87064556,27.67090669,1872.844613
44,1.039552569,0.652106547,76.14196008,8.436769661,3164.637311
30,2.05722619,0.757320659,209.1075624,76.76347807,5121.7747
38,0.713368662,0.937999505,226.6189316,33.89508069,7967.512868
2,0.629204303,0.765790907,57.89653621,52.38695233,63.40612008
60,1.828386579,0.322031234,284.0530616,14.1421692,16618.91862
21,1.851587804,0.661030688,62.99282091,28.37667266,1024.894176
33,2.093574754,0.685372037,185.3240838,61.45381671,5101.70679
12,2.315228334,0.539304537,227.2651299,124.7257477,1978.827072
58,2.939630199,0.789155388,267.7422809,14.73204244,15101.82306
22,1.790750871,0.947493612,228.521733,107.556128,3844.360719
44,1.307391182,0.94045481,250.4320208,76.00786293,9346.835929
25,2.487965487,0.560671497,134.8625481,38.63876696,2888.579116
49,1.177080628,0.290590437,253.7062784,21.89322468,11895.22364
27,1.597428552,0.987872959,70.0287116,18.15426145,1645.692684
59,0.696140953,0.871118469,273.704164,69.29219342,14104.42597
42,0.563376859,0.299730145,186.898094,36.65893997,7079.88221
